name,http_status,https_status,SIREN,type,sources,script
aspach-le-bas.alsace,200 OK,certificate verify failed,,Commune,ADULLACT,
www.aspach-le-bas.alsace,200 OK,certificate verify failed,,Commune,Wikidata,
bischheim.alsace,301 Moved Permanently http://www.bischheim.alsace,Connection failed,,,ADULLACT,
www.bischheim.alsace,200 OK,200 OK,,,Redirection depuis www.ville-bischheim.fr,
gueberschwihr.alsace,301 Moved Permanently https://www.gueberschwihr.alsace/,301 Moved Permanently https://www.gueberschwihr.alsace/,,Commune,ADULLACT,
www.gueberschwihr.alsace,200 OK,200 OK,,Commune,Wikidata,
hanau-lapetitepierre.alsace,301 Moved Permanently https://www.hanau-lapetitepierre.alsace/,301 Moved Permanently https://www.hanau-lapetitepierre.alsace/,,EPCI,Ajout manuel de Matthieu FAURE,
niedersoultzbach.hanau-lapetitepierre.alsace,200 OK,200 OK,,Collectivité,Wikidata,
obersoultzbach.hanau-lapetitepierre.alsace,200 OK,200 OK,,Collectivité,Wikidata,
schillersdorf.hanau-lapetitepierre.alsace,200 OK,200 OK,,,ADULLACT,
www.schillersdorf.hanau-lapetitepierre.alsace,Name or service not known,Name or service not known,,,ADULLACT,
schoenbourg.hanau-lapetitepierre.alsace,200 OK,200 OK,,Collectivité,Wikidata,
weinbourg.hanau-lapetitepierre.alsace,200 OK,200 OK,,Commune,DILA open data,
www.weinbourg.hanau-lapetitepierre.alsace,Name or service not known,Name or service not known,,Commune,Ajout manuel de Matthieu FAURE,
www.hanau-lapetitepierre.alsace,200 OK,200 OK,,EPCI,Ajout manuel de Matthieu FAURE,
handschuheim.alsace,200 OK,200 OK,,Collectivité,Wikidata,
hatten.alsace,200 OK,200 OK,,Commune,ADULLACT,
www.hatten.alsace,301 Moved Permanently https://hatten.alsace/,301 Moved Permanently https://hatten.alsace/,,Commune,DILA open data,
holtzheim.alsace,301 Moved Permanently http://www.holtzheim.alsace/,301 Moved Permanently http://www.holtzheim.alsace/,,Collectivité,ADULLACT,
www.holtzheim.alsace,200 OK,200 OK,,Collectivité,Wikidata,
lohr.alsace,200 OK,200 OK,,Commune,ADULLACT,
www.lohr.alsace,200 OK,200 OK,,Commune,DILA open data,
mlsaverne.alsace,200 OK,200 OK,,,ADULLACT,
www.mlsaverne.alsace,301 Moved Permanently https://mlsaverne.alsace/,301 Moved Permanently https://mlsaverne.alsace/,,,ADULLACT,
mulhausen.alsace,200 OK,200 OK,,Commune,ADULLACT,
www.mulhausen.alsace,200 OK,200 OK,,Commune,DILA open data,
munster.alsace,301 Moved Permanently https://www.munster.alsace/,301 Moved Permanently https://www.munster.alsace/,,Commune,ADULLACT,
www.munster.alsace,Timeout,Timeout,,Commune,Wikidata,
pfaffenheim.alsace,301 Moved Permanently http://www.pfaffenheim.alsace/,301 Moved Permanently http://www.pfaffenheim.alsace/,,Commune,ADULLACT,
www.pfaffenheim.alsace,200 OK,200 OK,,Commune,ADULLACT,
reguisheim.alsace,200 OK,200 OK,,Collectivité,Wikidata,
rothbach.alsace,403 Forbidden,403 Forbidden,,Commune,ADULLACT,
www.rothbach.alsace,403 Forbidden,403 Forbidden,,Commune,ADULLACT,
saint-louis.alsace,Timeout,certificate verify failed,,Collectivité,Ajout manuel de Julien Palard,
seebach.alsace,301 Moved Permanently https://www.seebach.alsace/,301 Moved Permanently https://www.seebach.alsace/,,Collectivité,ADULLACT,
www.seebach.alsace,200 OK,200 OK,,Collectivité,Wikidata,
www.missionlocale.app,200 OK,200 OK,,,Redirection depuis missionlocale.org,
passculture.app,301 Moved Permanently https://passculture.app:443/,200 OK,,,Ajout manuel de Julien Palard,
backend.passculture.app,404 Not Found,404 Not Found,,,CT logs,import-from-ct-logs.py
integration.passculture.app,301 Moved Permanently https://integration.passculture.app:443/,200 OK,,,Ajout manuel de Julien Palard,
backend.integration.passculture.app,404 Not Found,404 Not Found,,,CT logs,import-from-ct-logs.py
web.passculture.app,Name or service not known,Name or service not known,,,CT logs,import-from-ct-logs.py
barreau.biz,200 OK,200 OK,,Collectivité,ADULLACT,
www.barreau.biz,200 OK,200 OK,,Collectivité,Wikidata,
mairieviesly.biz,301 Moved Permanently https://otherhalfsports.com/,301 Moved Permanently https://otherhalfsports.com/,,,ADULLACT,
ww25.mairieviesly.biz,Name or service not known,Name or service not known,,,Redirection depuis www.mairieviesly.biz,
ww38.mairieviesly.biz,Name or service not known,Name or service not known,,,ADULLACT,
www.mairieviesly.biz,522 <none>,522 <none>,,,ADULLACT,
abers-iroise.bzh,No address associated with hostname,No address associated with hostname,,Collectivité,Ajout manuel de Bastien Guerry,
allaire.bzh,301 Moved Permanently https://www.allaire.bzh/,301 Moved Permanently https://www.allaire.bzh/,,Collectivité,ADULLACT,
www.allaire.bzh,200 OK,200 OK,,Collectivité,Wikidata,
argentre-du-plessis.bzh,301 Moved Permanently http://www.argentre-du-plessis.fr,Connection failed,,Commune,Ajout manuel de Matthieu FAURE,
www.argentre-du-plessis.bzh,301 Moved Permanently http://www.argentre-du-plessis.fr,Connection failed,,Commune,Ajout manuel de Matthieu FAURE,
arzal.bzh,301 Moved Permanently https://www.arzal.bzh/,301 Moved Permanently https://www.arzal.bzh/,,Collectivité,ADULLACT,
www.arzal.bzh,200 OK,200 OK,,Collectivité,Wikidata,
beaussais-sur-mer.bzh,200 OK,200 OK,,Commune,ADULLACT,
www.beaussais-sur-mer.bzh,200 OK,200 OK,,Commune,Wikidata,
bonrepossurblavet.bzh,301 Moved Permanently https://www.bonrepossurblavet.bzh/,301 Moved Permanently https://www.bonrepossurblavet.bzh/,,Collectivité,ADULLACT,
www.bonrepossurblavet.bzh,200 OK,200 OK,,Collectivité,Wikidata,
bourbriac.bzh,301 Moved Permanently https://www.bourbriac.bzh/,301 Moved Permanently https://www.bourbriac.bzh/,,Commune,ADULLACT,
www.bourbriac.bzh,200 OK,200 OK,,Commune,Wikidata,
bretagne.bzh,403 Forbidden,403 Forbidden,,Conseil régional,Ajout manuel de Bastien Guerry,
megalis.bretagne.bzh,Timeout,301 Moved Permanently https://www.megalis.bretagne.bzh,,Collectivité,Ajout manuel de Bastien Guerry,
www.bretagne.bzh,200 OK,200 OK,,Conseil régional,Ajout manuel de Julien Palard,
www.bretagnecentre.bzh,418 ,418 ,,,Redirection depuis www.loudeac-communaute.bzh,
briec.bzh,Timeout,Timeout,,Commune,ADULLACT,
www.briec.bzh,200 OK,200 OK,,Commune,Wikidata,
brignac.bzh,200 OK,200 OK,,Commune,Wikidata,
www.brignac.bzh,301 Moved Permanently https://brignac.bzh,Connection failed,,Commune,ADULLACT,
cc-broceliande.bzh,301 Moved Permanently https://www.cc-broceliande.bzh/,301 Moved Permanently https://www.cc-broceliande.bzh/,,EPCI,ADULLACT,
www.cc-broceliande.bzh,200 OK,200 OK,,EPCI,ADULLACT,
cca.bzh,301 Moved Permanently https://www.cca.bzh/,301 Moved Permanently https://www.cca.bzh/,,EPCI,Ajout manuel de Bastien Guerry,
www.cca.bzh,418 ,418 ,,EPCI,Ajout manuel de Julien Palard,
ccdol-baiemsm.bzh,301 Moved Permanently https://www.ccdol-baiemsm.bzh/,301 Moved Permanently https://www.ccdol-baiemsm.bzh/,,EPCI,ADULLACT,
www.ccdol-baiemsm.bzh,200 OK,200 OK,,EPCI,ADULLACT,
cchpb.bzh,301 Moved Permanently https://www.cchpb.bzh/,301 Moved Permanently https://www.cchpb.bzh/,,EPCI,ADULLACT,
www.cchpb.bzh,200 OK,200 OK,,,ADULLACT,
bretagne-ouest.cci.bzh,No address associated with hostname,No address associated with hostname,,,ADULLACT,
www.bretagne-ouest.cci.bzh,certificate verify failed,certificate verify failed,,,ADULLACT,
ccpcp.bzh,301 Moved Permanently https://www.ccpcp.bzh/,301 Moved Permanently https://www.ccpcp.bzh/,,EPCI,Ajout manuel de Bastien Guerry,
www.ccpcp.bzh,200 OK,200 OK,,EPCI,Ajout manuel de Julien Palard,
ccpi.bzh,No address associated with hostname,No address associated with hostname,,Collectivité,Ajout manuel de Bastien Guerry,
ccpld.bzh,200 OK,certificate verify failed,,Collectivité,Ajout manuel de Bastien Guerry,
cdg29.bzh,301 Moved Permanently https://www.cdg29.bzh/,301 Moved Permanently https://www.cdg29.bzh/,,Centre de gestion,ADULLACT,
www.cdg29.bzh,200 OK,200 OK,,Centre de gestion,Banatic,import-base-nationale-sur-les-intercommunalites.py
centremorbihancommunaute.bzh,301 Moved Permanently https://www.centremorbihancommunaute.bzh/,301 Moved Permanently https://www.centremorbihancommunaute.bzh/,,EPCI,ADULLACT,
www.centremorbihancommunaute.bzh,200 OK,200 OK,,EPCI,ADULLACT,
ch2p.bzh,301 Moved Permanently https://www.ch2p.bzh/,301 Moved Permanently https://www.ch2p.bzh/,,,ADULLACT,
www.ch2p.bzh,200 OK,200 OK,,,ADULLACT,
chateauneufdufaou.bzh,301 Moved Permanently https://www.chateauneufdufaou.bzh/,301 Moved Permanently https://www.chateauneufdufaou.bzh/,,Collectivité,ADULLACT,
www.chateauneufdufaou.bzh,200 OK,200 OK,,Collectivité,DILA open data,
clcl.bzh,301 Moved Permanently http://www.clcl.bzh/,301 Moved Permanently http://www.clcl.bzh/,,EPCI,Ajout manuel de Bastien Guerry,
www.clcl.bzh,200 OK,200 OK,,EPCI,Ajout manuel de Julien Palard,
cma22.bzh,403 Forbidden,certificate verify failed,,,ADULLACT,
www.cma22.bzh,403 Forbidden,certificate verify failed,,,ADULLACT,
cma29.bzh,403 Forbidden,certificate verify failed,,,ADULLACT,
www.cma29.bzh,certificate verify failed,certificate verify failed,,,ADULLACT,
cma35.bzh,403 Forbidden,certificate verify failed,,,ADULLACT,
www.cma35.bzh,403 Forbidden,certificate verify failed,,,ADULLACT,
cma56.bzh,403 Forbidden,certificate verify failed,,,ADULLACT,
www.cma56.bzh,403 Forbidden,certificate verify failed,,,ADULLACT,
collegekerdurand.bzh,Name or service not known,Name or service not known,,,Redirection depuis www.college-kerdurand-riantec.ac-rennes.fr,
www.combourg.bzh,200 OK,200 OK,,,ADULLACT,
combrit-saintemarine.bzh,200 OK,200 OK,,Collectivité,Wikidata,
comcom-crozon.bzh,302 Moved Temporarily http://www.comcom-crozon.com/wp-signup.php?new=comcom-crozon.bzh,302 Moved Temporarily https://www.comcom-crozon.com/wp-signup.php?new=comcom-crozon.bzh,,EPCI,Ajout manuel de Bastien Guerry,
www.comcom-crozon.bzh,301 Moved Permanently https://www.comcom-crozon.com/,301 Moved Permanently https://www.comcom-crozon.com/,,EPCI,Ajout manuel de Julien Palard,
cournon.bzh,302 Found https://www.cournon.bzh/,200 OK,,Commune,ADULLACT,
www.cournon.bzh,200 OK,200 OK,,Commune,DILA open data,
credin.bzh,200 OK,200 OK,,,Redirection depuis www.credin.fr,
